Niterations =  200, Nsteps =     500, Nattemps = 100, Dchem = -650.0, Nkernals =   100, Nverlet =   1

Step Nwats Nsalt AccProb Time (s)
   0   501     0   0.00   70
   1   501     0   0.00   64
   2   501     0   0.00   63
   3   501     0   0.00   63
   4   501     0   0.00   63
   5   501     0   0.00   63
   6   501     0   0.00   63
   7   501     0   0.00   63
   8   501     0   0.00   64
   9   501     0   0.00   64
  10   501     0   0.00   63
  11   501     0   0.00   63
  12   501     0   0.00   63
  13   501     0   0.00   63
  14   501     0   0.00   63
  15   501     0   0.00   64
  16   501     0   0.00   64
  17   501     0   0.00   64
  18   501     0   0.00   63
  19   501     0   0.00   63
  20   501     0   0.00   63
  21   501     0   0.00   63
  22   501     0   0.00   63
  23   501     0   0.00   64
  24   501     0   0.00   64
  25   501     0   0.00   64
  26   501     0   0.00   63
  27   501     0   0.00   63
  28   501     0   0.00   63
  29   501     0   0.00   63
  30   501     0   0.00   64
  31   501     0   0.00   64
  32   501     0   0.00   64
  33   501     0   0.00   64
  34   501     0   0.00   63
  35   501     0   0.00   63
  36   501     0   0.00   63
  37   499     1   0.01   64
  38   499     1   0.00   63
  39   499     1   0.00   64
  40   499     1   0.00   63
  41   499     1   0.00   63
  42   499     1   0.00   64
  43   499     1   0.00   64
  44   499     1   0.00   63
  45   499     1   0.00   64
  46   499     1   0.00   64
  47   499     1   0.00   62
  48   499     1   0.00   61
  49   499     1   0.00   61
  50   499     1   0.00   63
  51   499     1   0.00   63
  52   499     1   0.00   63
  53   499     1   0.00   63
  54   499     1   0.00   64
  55   499     1   0.00   64
  56   499     1   0.00   64
  57   499     1   0.00   64
  58   499     1   0.00   63
  59   499     1   0.00   61
  60   499     1   0.00   61
  61   499     1   0.00   61
  62   499     1   0.00   61
  63   499     1   0.00   61
  64   499     1   0.00   61
  65   499     1   0.00   61
  66   499     1   0.00   61
  67   499     1   0.00   61
  68   499     1   0.00   61
  69   499     1   0.00   61
  70   499     1   0.00   61
  71   499     1   0.00   61
  72   499     1   0.00   61
  73   499     1   0.00   61
  74   499     1   0.00   61
  75   499     1   0.00   61
  76   499     1   0.00   61
  77   499     1   0.00   61
  78   499     1   0.00   61
  79   499     1   0.00   61
  80   499     1   0.00   61
  81   499     1   0.00   61
  82   499     1   0.00   61
  83   499     1   0.00   61
  84   499     1   0.00   61
  85   499     1   0.00   61
  86   499     1   0.00   61
  87   499     1   0.00   61
  88   499     1   0.00   61
  89   499     1   0.00   61
  90   499     1   0.00   61
  91   499     1   0.00   61
  92   499     1   0.00   61
  93   499     1   0.00   61
  94   499     1   0.00   61
  95   499     1   0.00   61
  96   499     1   0.00   61
  97   499     1   0.00   61
  98   499     1   0.00   61
  99   499     1   0.00   61
 100   499     1   0.00   61
 101   499     1   0.00   61
 102   499     1   0.00   61
 103   499     1   0.00   61
 104   499     1   0.00   61
 105   499     1   0.00   61
 106   499     1   0.00   61
 107   499     1   0.00   61
 108   499     1   0.00   61
 109   499     1   0.00   61
 110   499     1   0.00   61
 111   499     1   0.00   61
 112   499     1   0.00   61
 113   499     1   0.00   61
 114   499     1   0.00   61
 115   499     1   0.00   61
 116   499     1   0.00   61
 117   499     1   0.00   61
 118   499     1   0.00   61
 119   499     1   0.00   61
 120   499     1   0.00   61
 121   499     1   0.00   61
 122   499     1   0.00   61
 123   499     1   0.00   61
 124   499     1   0.00   61
 125   499     1   0.00   61
 126   499     1   0.00   61
 127   499     1   0.00   61
 128   499     1   0.00   61
 129   499     1   0.00   61
 130   499     1   0.00   61
 131   499     1   0.00   61
 132   499     1   0.00   61
 133   499     1   0.00   61
 134   499     1   0.00   61
 135   499     1   0.00   61
 136   499     1   0.00   61
 137   499     1   0.00   61
 138   499     1   0.00   61
 139   499     1   0.00   61
 140   499     1   0.00   61
 141   499     1   0.00   61
 142   499     1   0.00   61
 143   499     1   0.00   61
 144   499     1   0.00   61
 145   499     1   0.00   61
 146   499     1   0.00   61
 147   499     1   0.00   61
 148   499     1   0.00   61
 149   499     1   0.00   61
 150   499     1   0.00   61
 151   499     1   0.00   61
 152   499     1   0.00   61
 153   499     1   0.00   61
 154   499     1   0.00   61
 155   499     1   0.00   61
 156   499     1   0.00   61
 157   499     1   0.00   61
 158   499     1   0.00   61
 159   499     1   0.00   61
 160   499     1   0.00   61
 161   499     1   0.00   61
 162   499     1   0.00   61
 163   499     1   0.00   61
 164   499     1   0.00   61
 165   499     1   0.00   61
 166   499     1   0.00   61
 167   499     1   0.00   61
 168   499     1   0.00   61
 169   499     1   0.00   61
 170   499     1   0.00   61
 171   499     1   0.00   61
 172   499     1   0.00   61
 173   499     1   0.00   61
 174   499     1   0.00   61
 175   499     1   0.00   61
 176   499     1   0.00   61
 177   499     1   0.00   61
 178   499     1   0.00   61
 179   499     1   0.00   61
 180   499     1   0.00   61
 181   499     1   0.00   61
 182   499     1   0.00   61
 183   499     1   0.00   61
 184   499     1   0.00   61
 185   499     1   0.00   61
 186   499     1   0.00   61
 187   499     1   0.00   61
 188   499     1   0.00   61
 189   499     1   0.00   61
 190   499     1   0.00   61
 191   499     1   0.00   61
 192   499     1   0.00   61
 193   499     1   0.00   61
 194   499     1   0.00   61
 195   499     1   0.00   61
 196   499     1   0.00   61
 197   499     1   0.00   61
 198   499     1   0.00   61
 199   499     1   0.00   61
